year,genre,value,year order,genre order
1990,Alternative,2,1,1
1991,Alternative,6,2,1
1992,Alternative,5,3,1
1993,Alternative,5,4,1
1994,Alternative,6,5,1
1995,Alternative,7,6,1
1996,Alternative,14,7,1
1997,Alternative,10,8,1
1998,Alternative,6,9,1
1999,Alternative,9,10,1
2000,Alternative,8,11,1
1990,Country,0,1,2
1991,Country,0,2,2
1992,Country,1,3,2
1993,Country,1,4,2
1994,Country,2,5,2
1995,Country,1,6,2
1996,Country,0,7,2
1997,Country,1,8,2
1998,Country,3,9,2
1999,Country,8,10,2
2000,Country,10,11,2
1990,EDM,12,1,3
1991,EDM,9,2,3
1992,EDM,4,3,3
1993,EDM,3,4,3
1994,EDM,5,5,3
1995,EDM,8,6,3
1996,EDM,8,7,3
1997,EDM,5,8,3
1998,EDM,1,9,3
1999,EDM,0,10,3
2000,EDM,3,11,3
1990,HipHop,8,1,4
1991,HipHop,9,2,4
1992,HipHop,14,3,4
1993,HipHop,19,4,4
1994,HipHop,20,5,4
1995,HipHop,15,6,4
1996,HipHop,18,7,4
1997,HipHop,21,8,4
1998,HipHop,27,9,4
1999,HipHop,17,10,4
2000,HipHop,10,11,4
1990,Pop,23,1,5
1991,Pop,21,2,5
1992,Pop,16,3,5
1993,Pop,20,4,5
1994,Pop,19,5,5
1995,Pop,11,6,5
1996,Pop,15,7,5
1997,Pop,21,8,5
1998,Pop,21,9,5
1999,Pop,26,10,5
2000,Pop,28,11,5
1990,PopRock,14,1,6
1991,PopRock,8,2,6
1992,PopRock,8,3,6
1993,PopRock,3,4,6
1994,PopRock,2,5,6
1995,PopRock,7,6,6
1996,PopRock,5,7,6
1997,PopRock,6,8,6
1998,PopRock,5,9,6
1999,PopRock,7,10,6
2000,PopRock,2,11,6
1990,RnB,24,1,7
1991,RnB,21,2,7
1992,RnB,32,3,7
1993,RnB,30,4,7
1994,RnB,30,5,7
1995,RnB,38,6,7
1996,RnB,29,7,7
1997,RnB,29,8,7
1998,RnB,35,9,7
1999,RnB,29,10,7
2000,RnB,32,11,7
1990,Rock,23,1,8
1991,Rock,24,2,8
1992,Rock,17,3,8
1993,Rock,14,4,8
1994,Rock,15,5,8
1995,Rock,9,6,8
1996,Rock,10,7,8
1997,Rock,7,8,8
1998,Rock,1,9,8
1999,Rock,4,10,8
2000,Rock,6,11,8
1990,Reggae,0,1,9
1991,Reggae,2,2,9
1992,Reggae,0,3,9
1993,Reggae,4,4,9
1994,Reggae,1,5,9
1995,Reggae,2,6,9
1996,Reggae,1,7,9
1997,Reggae,0,8,9
1998,Reggae,0,9,9
1999,Reggae,0,10,9
2000,Reggae,0,11,9
1990,Other,1,1,10
1991,Other,0,2,10
1992,Other,3,3,10
1993,Other,1,4,10
1994,Other,0,5,10
1995,Other,1,6,10
1996,Other,0,7,10
1997,Other,0,8,10
1998,Other,1,9,10
1999,Other,0,10,10
2000,Other,1,11,10
